data,cidade,objetivo,criativo,impressoes,cliques,gastos,leads
2025-06-01,Fortaleza,Alcance,Vídeo 1,447,3,2.98,0
2025-06-01,Fortaleza,Alcance,Vídeo 2,413,2,1.25,0
2025-06-01,Fortaleza,Alcance,Vídeo 3,413,2,0.39,0
2025-06-01,Fortaleza,Alcance,Imagem 1,232,0,0.0,0
2025-06-01,Fortaleza,Alcance,Imagem 2,526,1,0.34,0
2025-06-01,Fortaleza,Tráfego,Vídeo 1,712,10,3.41,0
2025-06-01,Fortaleza,Tráfego,Vídeo 2,639,9,3.8,0
2025-06-01,Fortaleza,Tráfego,Vídeo 3,849,9,6.1,0
2025-06-01,Fortaleza,Tráfego,Imagem 1,625,12,9.13,0
2025-06-01,Fortaleza,Tráfego,Imagem 2,521,8,3.21,0
2025-06-01,Fortaleza,Engajamento,Vídeo 1,228,2,1.65,0
2025-06-01,Fortaleza,Engajamento,Vídeo 2,677,15,10.96,0
2025-06-01,Fortaleza,Engajamento,Vídeo 3,504,5,2.75,0
2025-06-01,Fortaleza,Engajamento,Imagem 1,478,11,9.54,0
2025-06-01,Fortaleza,Engajamento,Imagem 2,261,5,3.25,0
2025-06-01,Fortaleza,Leads,Vídeo 1,482,7,7.29,0
2025-06-01,Fortaleza,Leads,Vídeo 2,304,3,2.59,0
2025-06-01,Fortaleza,Leads,Vídeo 3,526,5,3.55,0
2025-06-01,Fortaleza,Leads,Imagem 1,272,1,1.01,0
2025-06-01,Fortaleza,Leads,Imagem 2,573,5,5.32,0
2025-06-01,Crato,Alcance,Vídeo 1,250,0,0.0,0
2025-06-01,Crato,Alcance,Vídeo 2,174,0,0.0,0
2025-06-01,Crato,Alcance,Vídeo 3,68,0,0.0,0
2025-06-01,Crato,Alcance,Imagem 1,246,0,0.0,0
2025-06-01,Crato,Alcance,Imagem 2,144,0,0.0,0
2025-06-01,Crato,Tráfego,Vídeo 1,165,2,2.35,0
2025-06-01,Crato,Tráfego,Vídeo 2,113,1,0.72,0
2025-06-01,Crato,Tráfego,Vídeo 3,80,1,0.94,0
2025-06-01,Crato,Tráfego,Imagem 1,143,1,0.38,0
2025-06-01,Crato,Tráfego,Imagem 2,125,1,0.59,0
2025-06-01,Crato,Engajamento,Vídeo 1,183,6,5.46,0
2025-06-01,Crato,Engajamento,Vídeo 2,176,3,0.65,0
2025-06-01,Crato,Engajamento,Vídeo 3,162,3,5.01,0
2025-06-01,Crato,Engajamento,Imagem 1,154,3,2.52,0
2025-06-01,Crato,Engajamento,Imagem 2,106,2,2.2,0
2025-06-01,Crato,Leads,Vídeo 1,157,2,0.78,0
2025-06-01,Crato,Leads,Vídeo 2,254,5,2.62,0
2025-06-01,Crato,Leads,Vídeo 3,179,2,1.37,0
2025-06-01,Crato,Leads,Imagem 1,115,1,0.5,0
2025-06-01,Crato,Leads,Imagem 2,246,1,1.37,0
2025-06-01,Russas,Alcance,Vídeo 1,47,0,0.0,0
2025-06-01,Russas,Alcance,Vídeo 2,39,0,0.0,0
2025-06-01,Russas,Alcance,Vídeo 3,93,0,0.0,0
2025-06-01,Russas,Alcance,Imagem 1,87,0,0.0,0
2025-06-01,Russas,Alcance,Imagem 2,83,0,0.0,0
2025-06-01,Russas,Tráfego,Vídeo 1,51,1,1.03,0
2025-06-01,Russas,Tráfego,Vídeo 2,42,0,0.0,0
2025-06-01,Russas,Tráfego,Vídeo 3,81,1,0.59,0
2025-06-01,Russas,Tráfego,Imagem 1,84,1,1.15,0
2025-06-01,Russas,Tráfego,Imagem 2,102,1,0.62,0
2025-06-01,Russas,Engajamento,Vídeo 1,32,0,0.0,0
2025-06-01,Russas,Engajamento,Vídeo 2,46,1,0.88,0
2025-06-01,Russas,Engajamento,Vídeo 3,61,1,1.8,0
2025-06-01,Russas,Engajamento,Imagem 1,50,0,0.0,0
2025-06-01,Russas,Engajamento,Imagem 2,49,0,0.0,0
2025-06-01,Russas,Leads,Vídeo 1,67,0,0.0,0
2025-06-01,Russas,Leads,Vídeo 2,59,0,0.0,0
2025-06-01,Russas,Leads,Vídeo 3,43,0,0.0,0
2025-06-01,Russas,Leads,Imagem 1,50,0,0.0,0
2025-06-01,Russas,Leads,Imagem 2,45,0,0.0,0
2025-06-01,Beberibe,Alcance,Vídeo 1,130,0,0.0,0
2025-06-01,Beberibe,Alcance,Vídeo 2,132,0,0.0,0
2025-06-01,Beberibe,Alcance,Vídeo 3,135,0,0.0,0
2025-06-01,Beberibe,Alcance,Imagem 1,87,0,0.0,0
2025-06-01,Beberibe,Alcance,Imagem 2,116,0,0.0,0
2025-06-01,Beberibe,Tráfego,Vídeo 1,61,0,0.0,0
2025-06-01,Beberibe,Tráfego,Vídeo 2,121,1,0.64,0
2025-06-01,Beberibe,Tráfego,Vídeo 3,142,1,0.95,0
2025-06-01,Beberibe,Tráfego,Imagem 1,120,1,1.61,0
2025-06-01,Beberibe,Tráfego,Imagem 2,141,0,0.0,0
2025-06-01,Beberibe,Engajamento,Vídeo 1,96,1,0.84,0
2025-06-01,Beberibe,Engajamento,Vídeo 2,88,2,0.94,0
2025-06-01,Beberibe,Engajamento,Vídeo 3,69,1,0.66,0
2025-06-01,Beberibe,Engajamento,Imagem 1,117,2,0.9,0
2025-06-01,Beberibe,Engajamento,Imagem 2,97,3,3.7,0
2025-06-01,Beberibe,Leads,Vídeo 1,42,0,0.0,0
2025-06-01,Beberibe,Leads,Vídeo 2,56,0,0.0,0
2025-06-01,Beberibe,Leads,Vídeo 3,49,0,0.0,0
2025-06-01,Beberibe,Leads,Imagem 1,46,0,0.0,0
2025-06-01,Beberibe,Leads,Imagem 2,28,0,0.0,0
2025-06-01,Massapê,Alcance,Vídeo 1,103,0,0.0,0
2025-06-01,Massapê,Alcance,Vídeo 2,92,0,0.0,0
2025-06-01,Massapê,Alcance,Vídeo 3,109,0,0.0,0
2025-06-01,Massapê,Alcance,Imagem 1,149,0,0.0,0
2025-06-01,Massapê,Alcance,Imagem 2,107,0,0.0,0
2025-06-01,Massapê,Tráfego,Vídeo 1,105,1,1.17,0
2025-06-01,Massapê,Tráfego,Vídeo 2,137,1,1.18,0
2025-06-01,Massapê,Tráfego,Vídeo 3,135,2,2.18,0
2025-06-01,Massapê,Tráfego,Imagem 1,93,0,0.0,0
2025-06-01,Massapê,Tráfego,Imagem 2,146,1,0.92,0
2025-06-01,Massapê,Engajamento,Vídeo 1,153,3,2.42,0
2025-06-01,Massapê,Engajamento,Vídeo 2,174,5,5.78,0
2025-06-01,Massapê,Engajamento,Vídeo 3,232,7,6.18,0
2025-06-01,Massapê,Engajamento,Imagem 1,225,3,2.96,0
2025-06-01,Massapê,Engajamento,Imagem 2,179,3,3.24,0
2025-06-01,Massapê,Leads,Vídeo 1,159,1,0.46,0
2025-06-01,Massapê,Leads,Vídeo 2,132,2,2.18,0
2025-06-01,Massapê,Leads,Vídeo 3,116,1,0.57,0
2025-06-01,Massapê,Leads,Imagem 1,100,0,0.0,0
2025-06-01,Massapê,Leads,Imagem 2,93,0,0.0,0
2025-06-01,Limoeiro do Norte,Alcance,Vídeo 1,101,0,0.0,0
2025-06-01,Limoeiro do Norte,Alcance,Vídeo 2,67,0,0.0,0
2025-06-01,Limoeiro do Norte,Alcance,Vídeo 3,111,0,0.0,0
2025-06-01,Limoeiro do Norte,Alcance,Imagem 1,150,0,0.0,0
2025-06-01,Limoeiro do Norte,Alcance,Imagem 2,83,0,0.0,0
2025-06-01,Limoeiro do Norte,Tráfego,Vídeo 1,91,1,1.39,0
2025-06-01,Limoeiro do Norte,Tráfego,Vídeo 2,118,1,1.1,0
